,id,text,date,attachments.link.url,attachments.link.title,comments.count,reposts.count,views.count
217,23482435,,1545286365,https://ria.ru/20181220/1548296415.html,Путин проведет ежегодную большую пресс-конференцию,489,8,66079
218,23482346,,1545285722,,,67,52,70672
219,23482271,,1545285270,https://ria.ru/20181220/1548293466.html,"Песков признался, что читает Telegram-канал ""Усы Пескова""",109,4,59677
220,23482106,,1545284050,https://ria.ru/20181220/1548298858.html,"""Союз МС-09"" успешно приземлился в Казахстане",61,8,64260
221,23481984,"#РИА_ДеньвИстории 
Согласно Конвенции, женщинам принадлежит право голосовать на всех выборах, они могут быть избираемы, имеют право занимать должности на общественно-государственной службе на равных с мужчинами условиях. Конвенция о политических правах женщин вступила в силу 7 июля 1954 года.",1545283179,,,80,20,70970
222,23481851,,1545282074,https://ria.ru/20181220/1548295425.html,"Источник рассказал, когда на ""Ангаре"" полетят первые гражданские спутники",22,3,58959
223,23481727,,1545281389,https://ria.ru/20181220/1548296942.html,"Журналист Spiegel признался, что в течение семи лет выдумывал части статей",35,6,60150
224,23481573,,1545280412,https://ria.ru/20181220/1548297606.html,Хабаровская пенсионерка вернула владельцу найденные на улице 250 тыс руб,231,10,70300
225,23481378,,1545278769,https://ria.ru/20181220/1548296735.html,В Японии рассекретили материалы переговоров с США по Курилам в 1960 году,150,15,74783
226,23481224,,1545277243,https://ria.ru/20181220/1548297046.html,Зоозащитники оценили закон об ответственном обращении с животными,100,9,68819
227,23481058,,1545275779,https://ria.ru/20181220/1548278472.html,Никаких разговоров! Почему пилоты должны молчать при посадке самолета,45,6,77043
228,23480953,,1545274515,https://ria.ru/20181220/1548295617.html,"Опрос показал, сколько россияне готовы потратить на новогодние подарки",97,3,63351
229,23480822,,1545273107,https://ria.ru/20181220/1548296018.html,"Путин исполнит мечту тяжело больной девочки об интервью, заявил Песков",180,6,70833
230,23480666,,1545271526,https://ria.ru/20181220/1548294443.html,"Турция предлагала США изучить российские С-400, пишут СМИ",92,8,65264
231,23480528,,1545270152,https://ria.ru/20181220/1548295756.html,Германия потребовала от России вернуть вывезенные культурные ценности,461,22,68271
232,23480459,,1545268988,https://ria.ru/20181220/1548295079.html,"Трамп назвал американских военнослужащих ""героями всего мира""",129,3,63389
233,23480423,,1545267610,https://ria.ru/20181220/1548295805.html,"""Современник"" и царица: Волчек отметила юбилей в историческом здании театра",30,5,60564
234,23480363,,1545266211,https://rsport.ria.ru/20181219/1548291517.html,Молодежная сборная России по мини-футболу победила чехов в контрольной игре,8,7,62777
235,23480277,В Симферополе два человека пострадали в массовой драке на АЗС: https://ria.ru/20181219/1548254111.html,1545264555,,,38,3,63980
236,23480176,,1545263018,https://ria.ru/20181219/1548245751.html,"В ПФР разъяснили, как с 1 января будет рассчитываться прибавка к пенсии",115,19,59847
237,23480123,"Новое граффити, автором которого может быть известный уличный художник Бэнкси, появилось на одном из гаражей в городе Порт-Толбот на юго-западе Великобритании: https://ria.ru/20181219/1548286749.html",1545261566,,,33,9,65110
238,23480036,,1545260100,https://ria.ru/20181220/1548292622.html,"Песков рассказал, что у Путина нет мобильного телефона",160,8,62500
239,23479936,,1545258352,https://ria.ru/20181219/1548232276.html,"ГАЗ прокомментировал сообщения о возрождении производства ""Волги""",101,6,60856
240,23479842,"В США на видео попали ""дерущиеся"" надувные снеговики: https://ria.ru/20181220/1548268519.html",1545256752,,,39,20,64327
241,23479700,,1545255270,https://ria.ru/20181219/1548266816.html,"В ""Аптекарском огороде"" МГУ покажут самую черную орхидею в мире",17,10,60122
242,23479524,"Броские наряды, огромные плакаты, плюшевые игрушки и необычные вопросы — большая пресс-конференция Владимира Путина немного напоминает карнавал, ведь журналистам приходится выделяться, чтобы привлечь внимание первого лица. В этом году такую возможность получат более 1700 корреспондентов — причем самых разных изданий, от гигантов мировой прессы до региональных газет.",1545253724,https://ria.ru/20181220/1548278143.html,"Любовь, политика и квас. Чем запомнились большие пресс-конференции Путина",184,8,62878
243,23479433,"Британский серфер Том Батлер, возможно, побил мировой рекорд. По предварительным оценкам, высота волны составила около тридцати метров. Если этот факт будет подтвержден, то Том станет мировым рекордсменом: https://ria.ru/20181219/1548268171.html",1545252963,,,30,21,65509
244,23479183,"Зависимость от соцсетей оказалась похожа на алкоголизм, заявляют ученые: https://ria.ru/20181219/1548250198.html",1545251378,,,99,31,69426
245,23478972,"В мистическом триллере ""Суспирия"", который сейчас показывают в российских кинотеатрах, одну из эпизодических ролей сыграла танцовщица и хореограф Елена Фокина, бывшая солистка камерного балета ""Москва"", уехавшая в начале нулевых в Европу. В интервью [club15755094|РИА Новости] она рассказала, как ей работалось на съемочной площадке с Тильдой Суинтон.",1545249900,https://ria.ru/20181219/1548201219.html,"""Фройляйн Иванова"": русская танцовщица — о съемках в фильме ""Суспирия""",14,1,56154
246,23478836,,1545249020,https://ria.ru/20181219/1548286209.html,У 101-летней москвички украли почти 300 тысяч рублей,75,7,60031
247,23478606,,1545247386,https://ria.ru/20181219/1548289399.html,Американские сенаторы призвали к операции против России в Черном море,361,24,70831
248,23478367,"#РИА_Видео
В мордовском поселке Комсомольский выпал серый снег. По словам местных жителей, причиной ""удивительных осадков"" могла стать авария на цементном заводе: https://ria.ru/20181219/1548270577.html",1545245852,,,37,11,61154
249,23478145,,1545244889,https://rsport.ria.ru/20181219/1548276402.html,В Аргентине футболист чуть не убил судью за красную карточку,35,2,63700
250,23478037,,1545244452,,,268,35,72283
251,23477651,"Под ограничения попали 18 россиян, 15 из которых являются сотрудниками ГРУ, и 4 компании. Кроме того, под санкциями оказались Анатолий Чепига и Александр Мишкин, которых на Западе подозревают в отравлении Скрипалей.",1545242615,https://ria.ru/20181219/1548288247.html,США расширили санкции против России,235,8,76366
252,23477370,,1545241225,https://ria.ru/20181219/1548286880.html,Еврокомиссия пригрозила Украине приостановкой безвиза,119,7,68428
253,23477088,"Подписанный указ снял установленные 20 лет назад ограничения, не позволявшие предоставлять убежище политическим беженцам. При этом решения в дальнейшем будут приниматься индивидуально.",1545239826,https://ria.ru/20181219/1548284801.html,Путин снял ограничения на предоставление политического убежища в России,220,21,75858
254,23476965,"#РИА_Видео
Зимние забавы по-сибирски. Мужчина в Южно-Енисейске прокатился на экскаваторе, как на карусели. Но и этого ему показалось мало. После катания в 37-градусный мороз сибиряк решил облиться ледяной водой ❄",1545239176,,,111,22,71421
255,23476757,#РИА_ФотоДня,1545238078,,,47,10,76170
256,23476291,,1545236053,https://ria.ru/20181219/1548274758.html,Ученые из России и Шотландии предложили новый метод борьбы с раком,85,11,67461
257,23476247,,1545235875,,,290,85,85355
258,23475920,,1545234741,https://ria.ru/20181219/1548280923.html,США начали выводить войска из Сирии,292,19,73175
259,23475775,"#РИА_Видео
В Челябинске создали ""самые русские конфеты"". За обычными на первый взгляд пельменями скрываются шоколадная оболочка и водочно-лимонная начинка! Чем не новый русский сувенир?",1545234091,,,80,36,75153
260,23475336,"Президент США отдал приказ полностью вывести войска из Сирии, сообщают СМИ.",1545232575,https://ria.ru/20181219/1548273870.html,Трамп объявил о победе над ИГ* в Сирии,381,7,75053
261,23475184,,1545232059,https://ria.ru/20181219/1548274640.html,В Подмосковье мужчину забили насмерть на кассе магазина,148,4,66491
262,23475023,"По словам местных жителей, причиной ""удивительных осадков"" могла стать авария на цементном заводе, расположенном в поселке.",1545231416,https://ria.ru/20181219/1548270577.html,В Мордовии выпал серый снег,61,7,62290
263,23474746,,1545230435,https://ria.ru/20181219/1548270036.html,В Финляндии установили стенды с именами погибших советских военнопленных,93,18,71240
264,23474624,,1545229996,,,71,61,74717
265,23474534,"Киев планирует осуществить новый проход украинских судов через Керченский пролив, сообщил Александр Турчинов.",1545229603,https://ria.ru/20181219/1548269079.html,Киев заявил о подготовке новой провокации в Керченском проливе,322,6,68010
